DOEID,ALTHUQ,WALLTYPE,YEARMADE,URBRUR,UGASHERE,TOTSQFT,TOTBASESQFT,TOTATTCSQFT,TOTGARGSQFT,TOTRHMSQFT,TOTHSQFT,TOTUSQFT,BASHSQFT,BASUSQFT,GARHSQFT,GARUSQFT,ATTHSQFT,ATTUSQFT,RHMHSQFT,RHMUSQFT,TOTCSQFT,TOTUCSQFT,BASCSQFT,BASUCSQFT,GARCSQFT,GARUCSQFT,ATTCSQFT,ATTUCSQFT,RHMCSQFT,RHMUCSQFT,HBUSNESS,OTHWORK,ATHOME,HHSEX,HHAGE,EMPLOYHH,SPOUSE,SDESCENT,NHSLDMEM,AGEHHMEM1,AGEHHMEM2,AGEHHMEM3,AGEHHMEM4,AGEHHMEM5,AGEHHMEM6,AGEHHMEM7,AGEHHMEM8,AGEHHMEM9,AGEHHMEM10,AGEHHMEM11,AGEHHMEM12,AGEHHMEMY,WORKPAY,RETIREPY,CASHBEN,NCASHBEN,MONEYPY,LRGSTATE,TYPEHUQ,HD65,CD65,KWH,BTUEL,CUFEETNG,BTUNG,GALLONFO,BTUFO,GALLONLP,BTULP,GALLONKR,BTUKER,BTUELCDR,BTUELDWH,BTUELFZZ,BTUELRFG,BTUELCOL,BTUELWTH,BTUELSPH,BTUELAPL,BTUNGAPL,BTUNGWTH,BTUNGSPH,BTUFOAPL,BTUFOSPH,BTUFOWTH,BTULPAPL,BTULPSPH,BTULPWTH,BTUWOOD
1665,9,2,11,3,1,805,0,0,0,805,805,0,0,0,0,0,0,0,805,0,0,805,0,0,0,0,0,0,0,805,0,0,0,2,58,1,1,0,2,58,99,99,99,99,99,99,99,99,99,99,99,72,0,1,0,0,5,0,4,6427,242,7807,26639,999999.0,9999999.0,999999,9999999,999999,9999999,999999,9999999,0,547,0,2996,0,7141,9121,7381,9999999.0,9999999.0,9999999.0,9999999,9999999,9999999,9999999,9999999,9999999,9999999
1666,9,3,5,4,0,1216,0,0,0,1216,1216,0,0,0,0,0,0,0,1216,0,486,1216,0,0,0,0,0,0,0,1216,0,0,0,2,43,2,0,0,1,43,99,99,99,99,99,99,99,99,99,99,99,99,1,0,0,0,8,0,2,5698,1025,23518,80243,999999.0,9999999.0,999999,9999999,999999,9999999,999999,9999999,8153,0,0,7982,10376,12564,23337,25984,9999999.0,9999999.0,9999999.0,9999999,9999999,9999999,9999999,9999999,9999999,9999999
1667,3,3,2,1,1,1428,476,0,0,952,1428,0,476,0,0,0,0,0,952,0,286,1428,0,476,0,0,0,0,0,952,0,0,0,1,21,1,1,0,4,21,26,5,99,99,99,99,99,99,99,99,99,2,1,0,0,1,5,1,3,6735,848,7689,26235,1794.0,184603.0,999999,9999999,999999,9999999,999999,9999999,5128,0,3211,2750,1628,0,0,21857,0.0,42381.0,142222.0,9999999,9999999,9999999,9999999,9999999,9999999,9999999
1668,9,3,5,3,1,4108,1862,0,400,1846,3523,585,1862,0,0,400,0,0,1661,185,3708,400,1862,0,0,400,0,0,1846,0,0,0,1,1,41,1,1,0,6,41,41,25,19,16,99,99,99,99,99,99,99,13,1,0,0,0,22,0,2,5167,991,22054,75249,1050.0,108024.0,999999,9999999,999999,9999999,999999,9999999,9206,842,5765,3646,7648,0,2856,61099,0.0,43993.0,64031.0,9999999,9999999,9999999,9999999,9999999,9999999,9999999
1669,9,3,1,1,1,1365,0,660,0,705,705,660,0,0,0,0,0,660,705,0,341,1365,0,0,0,0,0,660,0,705,0,0,1,1,24,1,1,0,4,24,36,7,99,99,99,99,99,99,99,99,99,1,1,0,1,1,13,0,2,6571,876,4882,16657,1738.0,178840.0,999999,9999999,999999,9999999,999999,9999999,0,0,0,3375,1287,0,2267,9728,13784.0,26212.0,138844.0,9999999,9999999,9999999,9999999,9999999,9999999,9999999
1670,9,2,3,1,1,6380,1595,1595,0,3190,4386,1994,1196,399,0,0,0,1595,3190,0,3190,6380,0,1595,0,0,0,1595,0,3190,0,0,1,2,60,1,1,0,3,60,53,99,99,99,99,99,99,99,99,99,99,17,1,0,1,0,24,0,2,6652,731,15140,51658,1452.0,149411.0,999999,9999999,999999,9999999,999999,9999999,0,1283,0,11907,3925,0,0,35826,8254.0,24227.0,116930.0,9999999,9999999,9999999,9999999,9999999,9999999,9999999
1671,9,2,12,4,1,9120,1824,1824,0,5472,5472,3648,0,1824,0,0,0,1824,5472,0,9120,3648,0,1824,0,0,0,1824,5472,0,0,0,1,1,38,2,1,0,6,38,38,6,4,2,99,99,99,99,99,99,99,2,1,0,0,0,24,0,2,5998,861,18583,63405,1893.0,194790.0,999999,9999999,999999,9999999,999999,9999999,0,867,5936,12550,10097,0,0,40758,33962.0,65243.0,95585.0,9999999,9999999,9999999,9999999,9999999,9999999,9999999
1672,5,1,6,1,1,1391,0,0,0,1391,1391,0,0,0,0,0,0,0,1391,0,696,1391,0,0,0,0,0,0,0,1391,0,0,1,1,30,2,0,0,4,30,11,1,99,99,99,99,99,99,99,99,99,1,0,0,0,1,6,0,3,4956,1124,3081,10511,1027.0,105681.0,999999,9999999,999999,9999999,999999,9999999,0,0,0,2168,1521,0,0,6822,8792.0,16719.0,80170.0,9999999,9999999,9999999,9999999,9999999,9999999,9999999
1673,9,3,10,1,0,3654,0,1218,400,2036,2036,1618,0,0,0,400,0,1218,2036,0,3254,1618,0,0,0,400,0,1218,2036,0,0,0,1,1,61,2,1,0,2,61,99,99,99,99,99,99,99,99,99,99,99,61,1,1,0,0,12,0,2,3162,1690,17046,58161,999999.0,9999999.0,999999,9999999,999999,9999999,999999,9999999,3510,586,0,2337,14469,10834,8813,21708,9999999.0,9999999.0,9999999.0,9999999,9999999,9999999,9999999,9999999,9999999,9999999
1674,9,3,5,1,0,2472,0,0,400,2072,2072,400,0,0,0,400,0,0,2072,0,296,2472,0,0,0,400,0,0,0,2072,1,0,0,2,57,2,1,0,4,57,49,24,99,99,99,99,99,99,99,99,99,19,1,0,0,0,24,0,2,7130,576,14369,49027,999999.0,9999999.0,681,94448,999999,9999999,999999,9999999,2445,715,0,1827,1015,18697,0,27488,9999999.0,9999999.0,9999999.0,0,94448,0,9999999,9999999,9999999,9999999
